[1721399166479]  [TestTask]:Thread:Thread[#36,pool-3-thread-1,5,main] executed 231664 inserts
[1721399166480]  [CleanupTask]:Running cleanup task for [3] connections
[1721399166480]  [CleanupTask]:Closed 0 connections

[1721403785212]  [Main]:[TEST] [MaxConnectionCount] 20 [MaxIdlePeriod] 60000 [CleanupRate] 120000 [TestDuration] 60000
[1721403785226]  [Main]:[TEST_CLEANUP] [EXPECTING] Closes one connection after first cleanup, 4 connections after second cleanup
[1721403785229]  [Main]:[TEST_CONNECTION_ASSIGNATION] [EXPECTING] Assigns 4 distinct connections at first task, creates 4 connections after second task
[1721403785249]  [TestTask]:Connections in pool:5
[1721403785270]  [TestTask]:Thread:Thread[#29,pool-1-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@1a1d6a08
[1721403785272]  [TestTask]:Thread:Thread[#31,pool-1-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@27808f31
[1721403785274]  [TestTask]:Thread:Thread[#30,pool-1-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@37d31475
[1721403785274]  [TestTask]:Thread:Thread[#28,pool-1-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@fad74ee
[1721403845259]  [TestTask]:Thread:Thread[#28,pool-1-thread-1,5,main] released it's connection
[1721403845266]  [TestTask]:Thread:Thread[#28,pool-1-thread-1,5,main] executed 192834 inserts
[1721403845267]  [TestTask]:Thread:Thread[#29,pool-1-thread-2,5,main] released it's connection
[1721403845267]  [TestTask]:Thread:Thread[#29,pool-1-thread-2,5,main] executed 192574 inserts
[1721403845270]  [TestTask]:Thread:Thread[#30,pool-1-thread-3,5,main] released it's connection
[1721403845270]  [TestTask]:Thread:Thread[#30,pool-1-thread-3,5,main] executed 192911 inserts
[1721403845271]  [TestTask]:Thread:Thread[#31,pool-1-thread-4,5,main] released it's connection
[1721403845271]  [TestTask]:Thread:Thread[#31,pool-1-thread-4,5,main] executed 191773 inserts
[1721403845272]  [TestTask]:Total inserts:770092
[1721403905237]  [CleanupTask]:Running cleanup task for [5] connections
[1721403905240]  [CleanupTask]:Closed 1 connections
[1721404025236]  [CleanupTask]:Running cleanup task for [4] connections
[1721404025239]  [CleanupTask]:Closed 4 connections
[1721404025240]  [TestTask]:Connections in pool:0
[1721404025295]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@25ae6cf7
[1721404025378]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@30efbaee
[1721404025477]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@41ebd1ca
[1721404025615]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@4d742143
[1721404085241]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] released it's connection
[1721404085242]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] executed 197454 inserts
[1721404085242]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] released it's connection
[1721404085242]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] executed 195556 inserts
[1721404085243]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] released it's connection
[1721404085243]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] executed 195637 inserts
[1721404085243]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] released it's connection
[1721404085244]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] executed 197919 inserts
[1721404085244]  [TestTask]:Total inserts:786566
